NomeDoMunicipio, SituacaoUrbana, SituacaoRural, DensidadeMoradorPorComodo[0.0-0.5], DensidadeMoradorPorComodo[0.5-1.0], DensidadeMoradorPorComodo[1.0-2.0], DensidadeMoradorPorComodo[2.0-+], DensidadeMoradorPorDormitorio[1], DensidadeMoradorPorDormitorio[1-2], DensidadeMoradorPorDormitorio[2-3], DensidadeMoradorPorDormitorio[3+], MoradiaAdequada, MoradiaSemiAdequada, MoradiaInadequada
Adamantina,10766,558,7197,3904,223,0,4829,5779,620,96,10065,1244,15
Adolfo,1081,119,710,471,19,0,570,571,42,17,989,207,5
Aguaí,8970,929,4729,4352,769,49,2982,5235,1172,510,7361,2380,158
ÁguasdaPrata,2257,247,1412,982,111,0,1023,1184,234,62,1829,675,0
ÁguasdeLindóia,5540,53,3073,2206,302,12,1954,2905,569,165,4476,1112,5
ÁguasdeSantaBárbara,1433,440,1043,733,86,10,841,827,169,37,1187,667,19
ÁguasdeSãoPedro,990,0,725,254,11,0,492,436,50,12,910,80,0
Agudos,9769,371,4854,4496,755,35,3459,5067,1292,322,8005,2121,14
Alambari,1135,391,689,725,113,0,529,775,171,51,733,777,15
AlfredoMarcondes,1132,217,905,383,61,0,601,639,93,17,1014,325,10
Altair,947,239,599,514,69,4,446,572,122,46,795,391,0
Altinópolis,4301,578,2662,1935,270,12,1868,2354,543,114,3680,1145,53
AltoAlegre,1096,279,838,509,28,0,612,666,73,25,996,363,17
Alumínio,4171,809,1973,2552,444,11,1341,2475,865,299,3009,1971,0
ÁlvaresFlorence,977,451,978,424,26,1,795,581,50,3,926,495,6
ÁlvaresMachado,6646,785,4006,3108,316,0,2178,4355,684,215,5479,1906,46
ÁlvarodeCarvalho,909,103,529,398,79,6,413,451,98,50,768,240,4
Alvinlândia,820,88,477,357,66,9,344,439,71,55,701,202,5
Americana,67399,255,37002,26791,3597,264,25453,33678,6349,2173,57344,10289,20
AméricoBrasiliense,10215,75,4007,5408,853,22,2603,5395,1700,592,7923,2367,0
AméricodeCampos,1672,304,1315,609,51,0,925,901,113,37,1537,433,6
Amparo,16489,4034,10323,9062,1089,48,7154,10750,1971,648,15035,5454,34
Analândia,1103,272,742,550,75,8,383,802,154,35,899,446,30
Andradina,16879,1207,10436,6859,758,34,7480,8803,1437,367,14498,3450,138
Angatuba,5059,1985,3308,3267,459,11,2651,3331,763,299,4584,2383,77
Anhembi,1325,449,881,762,123,9,688,847,172,66,1135,633,6
Anhumas,947,203,613,494,37,6,418,618,98,15,856,288,6
Aparecida,10140,180,4675,4652,949,45,3059,5478,1172,612,8165,2155,0
Aparecidad'Oeste,1295,262,1037,490,30,0,738,714,93,12,1184,361,11
Apiaí,5511,2050,3262,3450,797,53,2658,3603,943,357,3393,4122,47
Araçariguama,4940,0,1568,2454,853,65,1064,2185,1063,628,1854,2942,144
Araçatuba,59507,1054,36991,21168,2278,126,25628,28764,4788,1381,52684,7783,94
AraçoiabadaSerra,5874,2698,4246,3715,571,41,2955,4313,854,450,3217,5329,25
Aramina,1541,112,922,652,80,0,695,785,137,37,1341,308,4
Arandu,1442,456,922,835,124,17,586,1004,212,97,1124,771,3
Arapeí,609,191,420,329,51,0,252,448,77,23,361,427,12
Araraquara,67047,1718,40659,25070,2944,91,28584,33104,5431,1646,60260,8438,67
Araras,34482,1848,19656,14300,2251,124,13202,18549,3399,1180,30735,5578,18
Arco-Íris,376,266,351,270,19,2,264,340,30,8,355,284,3
Arealva,2108,552,1611,959,83,7,1006,1373,245,36,1776,858,26
Areias,726,354,506,482,83,9,388,480,165,47,539,504,37
Areiópolis,2709,321,1018,1748,242,22,786,1661,468,115,2378,652,0
Ariranha,2552,135,1362,1127,189,8,920,1352,314,101,2062,617,8
ArturNogueira,12186,1292,6181,6141,1094,61,3922,7163,1817,575,9700,3756,21
Arujá,20603,817,7870,10082,3145,323,5268,9930,3880,2342,12448,8972,0
Aspásia,427,178,340,258,7,0,258,313,30,4,395,208,3
Assis,30314,787,18872,11163,1027,39,13255,14832,2431,583,27116,3952,33
Atibaia,35106,3247,18280,16355,3396,322,12908,17798,5268,2378,21196,17101,56
Auriflama,4316,407,2771,1809,140,3,2130,2246,272,75,3887,823,13
Avaí,1080,482,804,656,100,2,508,800,204,50,868,684,10
Avanhandava,2900,170,1493,1342,220,15,1097,1500,333,140,2425,629,15
Avaré,25127,1099,14036,10248,1886,57,9770,12690,2756,1011,21056,5101,70
BadyBassitt,4387,317,2621,1958,120,5,1372,2830,408,93,3867,824,13
Balbinos,411,62,282,173,18,0,121,294,51,7,349,124,0
Bálsamo,2536,217,1726,960,64,2,1043,1488,172,49,2284,469,0
Bananal,2641,644,1778,1333,168,6,1196,1688,328,72,2221,1049,14
BarãodeAntonina,642,376,583,355,73,7,445,466,78,30,536,481,1
Barbosa,1784,248,963,928,135,6,632,1085,249,65,1484,518,29
Bariri,9499,488,5326,3979,638,45,3779,4996,886,327,8282,1700,5
BarraBonita,10950,225,6378,4384,390,24,4384,5688,821,283,9836,1339,0
BarradoChapéu,477,1094,657,713,187,13,596,664,231,79,310,1198,63
BarradoTurvo,979,1430,1223,890,262,33,1036,895,290,188,679,1672,58
Barretos,35021,1150,21137,13058,1899,77,15120,16586,3325,1140,30247,5828,95
Barrinha,8327,101,3354,4067,950,57,2278,4238,1326,585,6305,2123,0
Barueri,71809,0,25397,35183,10427,802,17618,33406,13390,7394,48774,23027,8
Bastos,5537,819,3263,2794,294,5,2445,3100,671,140,4843,1381,132
Batatais,15773,1968,10412,6466,845,18,6994,8689,1598,460,14926,2765,50
Bauru,109045,785,64953,39063,5451,363,43776,52950,9514,3590,94602,15194,34
Bebedouro,22649,1069,13207,9236,1207,68,7571,13426,2186,536,19998,3655,65
BentodeAbreu,788,74,502,330,30,0,339,438,67,18,700,162,0
